show_id,type,title,director,country,date_added,release_year,rating,duration,genre,description,year_added,month_added,season_count
s3,TV Show,Ganglands,Julien Leclercq,Missing,2021-09-24,2021,TV-MA,,Crime TV Shows,"To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",2021,9,1
s6,TV Show,Midnight Mass,Mike Flanagan,Missing,2021-09-24,2021,TV-MA,,TV Dramas,"The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.",2021,9,1
s7,Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha",Missing,2021-09-24,2021,PG,91,Children & Family Movies,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",2021,9,
s8,Movie,Sankofa,Haile Gerima,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",2021-09-24,1993,TV-MA,125,Dramas,"On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",2021,9,
s9,TV Show,The Great British Baking Show,Andy Devonshire,United Kingdom,2021-09-24,2021,TV-14,,British TV Shows,"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best.",2021,9,9
s10,Movie,The Starling,Theodore Melfi,United States,2021-09-24,2021,PG-13,104,Comedies,A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,2021,9,
s12,TV Show,Bangkok Breaking,Kongkiat Komesiri,Missing,2021-09-23,2021,TV-MA,,Crime TV Shows,"Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy.",2021,9,1
s13,Movie,Je Suis Karl,Christian Schwochow,"Germany, Czech Republic",2021-09-23,2021,TV-MA,127,Dramas,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",2021,9,
s14,Movie,Confessions of an Invisible Girl,Bruno Garotti,Missing,2021-09-22,2021,TV-PG,91,Children & Family Movies,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",2021,9,
s19,Movie,Intrusion,Adam Salky,Missing,2021-09-22,2021,TV-14,94,Thrillers,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.",2021,9,
s23,Movie,Avvai Shanmughi,K.S. Ravikumar,Missing,2021-09-21,1996,TV-PG,161,Comedies,"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.",2021,9,
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore",Missing,2021-09-21,2021,TV-Y,61,Children & Family Movies,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",2021,9,
s25,Movie,Jeans,S. Shankar,India,2021-09-21,1998,TV-14,166,Comedies,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing.",2021,9,
s27,Movie,Minsara Kanavu,Rajiv Menon,Missing,2021-09-21,1997,TV-PG,147,Comedies,A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.,2021,9,
s28,Movie,Grown Ups,Dennis Dugan,United States,2021-09-20,2010,PG-13,103,Comedies,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid.",2021,9,
s29,Movie,Dark Skies,Scott Stewart,United States,2021-09-19,2013,PG-13,97,Horror Movies,"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat.",2021,9,
s30,Movie,Paranoia,Robert Luketic,"United States, India, France",2021-09-19,2013,PG-13,106,Thrillers,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",2021,9,
s31,Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",Missing,2021-09-17,2021,TV-14,111,Dramas,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing.",2021,9,
s36,Movie,The Father Who Moves Mountains,Daniel Sandu,Missing,2021-09-17,2021,TV-MA,110,Dramas,"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him.",2021,9,
s37,Movie,The Stronghold,Cédric Jimenez,Missing,2021-09-17,2021,TV-MA,105,Action & Adventure,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask.",2021,9,
s39,Movie,Birth of the Dragon,George Nolfi,"China, Canada, United States",2021-09-16,2017,PG-13,96,Action & Adventure,"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events.",2021,9,
s42,Movie,Jaws,Steven Spielberg,United States,2021-09-16,1975,PG,124,Action & Adventure,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast.",2021,9,
s43,Movie,Jaws 2,Jeannot Szwarc,United States,2021-09-16,1978,PG,116,Dramas,"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.",2021,9,
s44,Movie,Jaws 3,Joe Alves,United States,2021-09-16,1983,PG,98,Action & Adventure,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood.",2021,9,
s45,Movie,Jaws: The Revenge,Joseph Sargent,United States,2021-09-16,1987,PG-13,91,Action & Adventure,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there.",2021,9,
s47,Movie,Safe House,Daniel Espinosa,"South Africa, United States, Japan",2021-09-16,2012,R,115,Action & Adventure,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.,2021,9,
s48,TV Show,The Smart Money Woman,Bunmi Ajakaiye,Missing,2021-09-16,2020,TV-MA,,International TV Shows,"Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.",2021,9,1
s49,Movie,Training Day,Antoine Fuqua,United States,2021-09-16,2001,R,122,Dramas,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.,2021,9,
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,Japan,2021-09-15,2002,TV-14,99,Action & Adventure,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy.",2021,9,
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,Japan,2021-09-15,2003,TV-14,99,Action & Adventure,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.,2021,9,
